AMP ID,Project Title,Input,Outputs,Impact,Outcome,Status,Date of effectiveness,Actual Start Date,Date of Agreement,District,Donor Agency,Secondary Sector Sub-Sector,Secondary Sector Sub-Sub-Sector,Secondary Sector,Primary Sector Sub-Sub-Sector,Primary Sector Sub-Sector,Primary Sector,Total Actual Commitments,Total Actual Disbursements
  872382105444,Developing sustainable models of ECCD,Early Childhood Deelopment,To enhance sustainability of ECCD,1. 90% ECD centers met SC&#39;s defined four Quality guiding principless 2. 100% new ECD fcilitators are trained 3. 95% ECD children received Basic Health Facilitiess . All 72 ECD centers established six learning cornors in ECD centers,"1. 72 ECCD centers got quality support in Nawalparasi 2. Children in 72 ECCD centers enjoy early learning in safe, protective and supportive environment 3. Parents and stakeholder&#39;s involvement increased in early childhood development activities",On-Going,,01/01/2013,18/06/2009, ,Save the Children,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  872382105446,Heart in ECD,Early Childhood Development,1. Strengthened HEART component in ECD and primary school in disadvantaged commnities in baglung 2. To improve quality learning environmentt in ECD and grade one 3. Sensitize parents in HEART and engage them in arts 4. To participate childrren in HEART acctivities,"1. Children are able to express their feelings through varrious means of arts 2. Parents, facilitators and teachers and are responsive on children&#39;s issues 3. Schools and ECD centers are developed in child friendly manners", ,On-Going,,01/01/2013,18/06/2009, ,Save the Children,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  872382105447,Quality education project in pre- primary and primary schools in Eastern Nepal,Basic Education and Early Childhood Development,"1. Increased access to quality education 2. Strengthening local level education structures 3. Create safe, supportive and protective environment in school","1. 34476 children will have benefitted from education system based on quality teaching and learning methods 2. Safe, protective and supportive environment in education institutions and communitiesscommunitiess and schools are created through establishing child protection machanism 3. educaation institutions and stakeholders are strengthened and their accountability to deevliver quality education is increased", ,On-Going,,01/04/2011,18/06/2009, ,Save the Children,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  872382105448,NPL SCK Literacy Boost (Samsung),Education,Increase quality education,To strengthen children's skills in reading,Increase letter identification by 40% from baseline                Improve reading fluency by 200% of the baseline                Improve reading accuracy by point 20% of the baseline,On-Going,,01/09/2012,18/06/2009,Baglung (Baglung),Gaja Youth Club,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  872382105450,Agricultire and Nutrition Extension Project (ANEP),1. Improve the food security and nutrition of smaller households by introducing & facilitating the adoption of productive & environmentally sustainable agricultural technologies which improve beneficiaries&#39; livelihoods 2. To contribute to creating/improving market linkages to improve food & nutritional security of both rural producers & urban consumers,"Target group mobilisation and capacity building , Vegetables: Farmer Group Training and Demonstration, Staple Crops and Legumes: Farmer Group Training and Demonstration, Fish production: Farmer Group training and Demonstration, Nutrition Target Group Mobilisation and Group Formation, Nutrition Education, Monitoring and Support , Develop and Improve Market Linkages between Rural and Urban Areas Develop and Train Service Providers,","Increased Productivity, Improved Food Security and Nutrition, Develop Grassroots Institutions","Target group mobilisation and capacity building , Vegetables: Farmer Group Training and Demonstration, Staple Crops and Legumes: Farmer Group Training and Demonstration, Fish production: Farmer Group training and Demonstration, Nutrition Target Group Mobilisation and Group Formation, Nutrition Education, Monitoring and Support , Develop and Improve Market Linkages between Rural and Urban Areas Develop and Train Service Providers,",On-Going,,01/03/2012,18/06/2009," - Nawalparasi (Parasi)
 - Rupandehi (Bhairahawa)", ,Social exclusion n.e.c., ,SOCIAL PROTECTION, , ,AGRICULTURE, , 
  ,NPL SCK Rewrite the Future 2013,Education,"Access: - Increase enrolment of currently out of school/ECCD children, especially girls, socially excluded, disabled etc                Quality: Ensure that ECCD/school going children benefit from improved quality learning environment                Protection: Create favorable policy environment for safe, supportive, protective environment in ECCD and basic education.                Financing: Strengthen capacity and improve accountability of education institutions from community to national level","Create opportunity to access, quality education for targeted children by creating safe, protective and supportive environment", ,On-Going,,01/01/2013,18/06/2009,Baglung (Baglung),Gaja Youth Club,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  872382105470,Strengthen child friendly library in schools,Education,1. To provide reading opportunities for children providing library support 2. To provide management skills to manage library 3. To increase life skill capacities among adolecent girls and boys,Inproved reading skills of children in school,1. Providing reading opportunities to children by estabishing libraries in schools 2. School going children benefit from improved quality in education,On-Going,,01/01/2013,18/06/2009, ,Save the Children,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  872382105471,Heart in ECD 2013,ECD,1. Strengthened HEART component in ECD 2. To improve quality learning environmentt in ECD 3. Sensitize parents and facilitators in HEART,"1. Children are able to express their feelings through varrious means of arts 2. Parents, facilitators and teachers and are responsive on children&#39;s issues 3. ECD centers are developed in child friendly manners", ,On-Going,,01/09/2011,18/06/2009, ,Save the Children,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  872382105472,Developing sustainable models of ECCD 2013,ECD,School going children benefit from improved quality in education,Improved child friendly environment in school,1. construction of school building in Doti 2. Capacitate teachers on teaching learrning process,On-Going,,01/04/2012,18/06/2009, ,Save the Children,Pre-primary and primary education, ,EDUCATION, , ,EDUCATION, , 
  ,Food security livelihood and climate change project,Food aid,Improve short term food security in community                Improve community resilence through creation of Assets and building of irrigation abd livelihood capacities                Contribute to minimize effects of climate change through promotion of climate change adoptation strategy,"Improver food security through improving access, utilization",13.754 house hold will able to reduce hunger,On-Going,01/07/2013,01/08/2013,," - Jumla (Jumla Khalanga)
 - Kalikot (Kalikot)
 - Mugu (Gamgadhi)",Save the Children,Protection of biodiversity and landscape, ,ENVIRONMENTAL PROTECTION, , ,AGRICULTURE, , 
  872382105476,"Improving Monitoring, Evaluation, Accountability and Learning (MEAL)",Cross thematic,To integrate accountability and learning into Monitoring and Evaluation in SC programs;  To apply program support mechanism of accountability in order to improve program efficiency and effectiveness;  To demonstrate 'Accountability to Beneficiaries/Communities' in our actions and Donors; and  To institutionalize key learning to adopt/adapt best practices across program thematic and geographic areas,Improved status of children in Nepal,Improved quality of the implemented program by Save the Children and its partners,On-Going,,01/01/2013,,Bajura (Martadi),Save the Children,Family and children, ,SOCIAL PROTECTION, , ,MISCELLANEOUS, , 
  872382105479,Safer Schools and Communities through Child Ceretered Disaster Risk Reduction Initiatives,Etheme: Emergency                Sub theme: Preparedness and risk reduction,"Potential disaster risk are reduced and mitigated in 4 VDC of Kailali abd Rukum district through strengthenined capacity of children, communities and institutions to cope with disaster                Safer school and community through child centered disaster risk reduction initiatives",Improve status of the children affected by disaster in fulfulling after right in emergencies,Child centered disaster risk reductionintegretated into school curracula,On-Going,01/01/2011,01/01/2011,," - Kailali (Dhangadhi)
 - Rukum (Musikot)",Save the Children, , ,EDUCATION, , ,LOCAL DEVELOPMENT, , 
  872382105478,WFP Commodity values for Nepal (GIK),Food aid,Improve short term food security in community                Improve community resilence through creation of Assets and building of irrigation abd livelihood capacities                Contribute to minimize effects of climate change through promotion of climate change adoptation strategy,"Improver food security through improving access, utilization",13.754 house hold will able to reduce hunger,On-Going,01/07/2013,01/08/2013,18/06/2009," - Jumla (Jumla Khalanga)
 - Kalikot (Kalikot)
 - Mugu (Gamgadhi)",Save the Children,Protection of biodiversity and landscape, ,ENVIRONMENTAL PROTECTION, , ,AGRICULTURE, , 
  872382385537,"Promotion of livelihood and sustainable food security, safe migration and participation in accountable governance","Under Resilient Livelihood and Sustainable Food Security Programme:              SN        Major Tangible/Measurable Activities        Physical Target (year-wise)         Total Targets         Total Tentative Beneficiary        Locations                            Y-1        Y-2        Y-3        Y-4        Y-5                                    Expected Result 1.1: Sustainable and replicable farm/non-farm climate resilient livelihood models created and promoted to enhance food security of excluded and marginalized communities     (HARDWARE/SERVICE DELIVERY ACTIVITIES)                1        Baseline study on food security status of target group        1        -        1        -        -        2 schemes        -        5 Dists including Achham, Bajura, Doti            2        Establishment of farmers field school        300        500        500        500        500        5 schemes        2300 HHs        5 Dists including Achha, Doti            3        Establish/Strengthen community-managed seed banks (for seed security and emergency purposes)        300        500        500        500        500        5 schemes        2300 HHs        5 Dists including Achham, Doti            4        Promotion of SRI/SWI technology/ models for rice and wheat production        200        200        200        200        200        5 schemes        1000 HHs        3 Dists of terai            5        Agriculture Inputs, technology transfer, demonstration plots, and linkages with govt. programmes (e.g. disaster/climate resilient seeds, micro-irrigations, organic fertilizers, technical training and extension services etc)        300        400        400        400        400        5 schemes        1900 HHs        5 Dists including Achham, Doti            6        Riverbank protection through plantation/bio-engineering        300        500        500        500        500        10 schemes        2800 HHs        3 Dists of terai            7        Matching fund support for structural and non-structural mitigation schemes/works led by CDMC        500        500        1500        1000        1000        15 schemes        4500 HHs        5 Dists including Achham, Doti            8        Establishment of community based early warning systems        1000        2000        2000        2000        2000        5 schemes        10,000 HHs        5 Dists including Achham, Doti            9        Boats support for rescue and relief during disaster in new CDMCs        300        500        500        300        300        5 schemes        1900 HHs        3 Dists of terai            10        Provision of rescue materials at district level        100        100        100        100        100        5 schemes        500 HHs        5 Dists including Achham, Doti            11        Establishment of emergency relief matching funds at VDC levels        50        50        50        50        50        5 schemes        250 HHs        5 Dists including Achham, Doti            Expected Result 1.2: Improved access to livelihood and food security programmes and entitlements of excluded and marginalized communities in food insecure and disaster prone areas through strengthened community based organizations and their alliances    (TANGIBLE/HARDWARE ACTIVITIES).                12        Training on climate resilient farming, Climate Chance Adaptation (CCA)        200        300        300        300        300        56 events        1400 HHs        5 Dists including Achham, Doti            13        Community Based Disaster Risk Management refresher trainings for Community Disaster Management Committees (CDMCs)        200        300        300        300        300        56 events        1400 HHs        5 Dists including Achham, Doti            14        Mock drills (search and rescue) training for preparedness to disasters        100        100        100        100        100        15 events        500 HHs        5 Dists including Achham, Doti            15        Organizational development support for district CDMC and their network        300        300        300        300        300        15 schemes        450 HHs        5 Dists including Achham, Doti            16        Cross learning visit of CDMCs        300        300        300        300        300        15 events        450 HHs        5 Dists including Achham, Doti            17        Strengthen institutions/networks of disaster affected communities in targeted VDCs        300        300        300        300        300        15 schemes        450 HHs        5 Dists including Achham, Doti            Expected Result 1.3: Policies and laws regarding food security, natural resource management and disaster risk reduction effectively implemented and realized by resilient communities through strengthened governance and effective response     (SOFWARE ACTIVITIES)            18        District level workshop on policy provisions of food security        50        100        100        100        100        5 schemes        450 persons        5 Dists including Achham, Doti            19        Media mobilization in the issue of climate change, DRR and food security        3        3        3        3        3        15 schemes        5000 persons        5 Dists including Achham, Doti            20        Public hearings on government services on agriculture and disaster management        3        5        5        5        5        23 schemes        10,000 HHs        5 Dists including Achham, Doti            21        DDC and VDC level coordination and review meetings with stakeholders        12        20        20        20        20        92 events        1500 persons        5 Dists including Achham, Doti            22        Pre-monsoon orientation workshops in Districts and VDCs        3        5        5        5        5        23 events        2000 HHs        5 Dists including Achham, Doti            23        Contingency plan workshop /follow up in field        3        3        5        5        5        21 events        2000 HHs        5 Dists including Achham, Doti            24        District govt. stakeholders joint field visits        3        5        5        5        5        23 visits        150 govt. officials        5 Dists including Achham, Doti            25        District Disaster Risk Management Plan (DDRMP) and VDRMP workshops and plans         3        3        5        5        5        21 events        300 govt./non govt. officials        5 Dists including Achham, Doti            26        Best practice publications and dissemination        1        1        1        1        1        5 schemes        15,000 HHs, 500 stakeholders        5 Dists including Achham, Doti            27        Capacity building of local CBOs, civil societies and partners on resilient livelihood, CCA and governance, OD etc        2        3        3        3        3        14 events        350 persons        5 Dists including Achham, Doti          Under Safe Migration Programme:      (TANGIBLE/HARDWARE and SOFTWARE ACTIVITIES)              SN        Major Tangible/Measurable Activities        Physical Targets (year-wise)        Total targets         Tentative Total Beneficiaries        Locations                                Y-1        Y-2        Y-3        Y-4        Y-5                                    Expected Result 2.1: Migrant workers are empowered to take informed decision for safe foreign employment and access government services and entitlements (TANGIBLE ACTIVITIES)            1        Community based events on awareness on safe migration targeting at least 8000 target beneficiaries.         1000        2000        2000        2000        1000        200 events        8000 HHs        4 dists ( Bardiya, Udaypur, Sunsari, Morang)            2        Information dissemination on safe migration through information booths in collaboration with DAO offices        3000        3000        3000        3000        3000        20 schemes        15000 person        4 dists ( Bardiya, Udaypur, Sunsari, Morang)            3        Radio programs (fortnightly) in Nepali and Maithali/Bhojpuri languages to disseminate information on safe migration    (POURAKHI only for 2013, WOREC for 5 years for eastern teria)        52        26        26        26        26        156 episodes        100,000 potential migrants/family members        55 dists for 2013, only 3-5 eastern terai dists from 2014-17            4        Paralegal and counseling support to at least 1000 distressed WMWs        100        300        300        200        200        5 schemes        1000 HHs        Bardia/national (Pourakhi)            5        Hotline service and referral services for survivors (victimized migrant workers) for shelter, medical support        300        500        500        500        500        5 schemes        2800 HHs        Bardia/national            6        Direct relief support (shelter, medical, legal & psychosocial counseling) to survivor/victims of migration - 200 persons        40        40        40        40        40        200 schemes        200 persons        Udaypur/Morang/Sunrari            7        Facilitate to access compensation package of foreign employment trust fund for affected migrant workers        100        200        200        200        200        5 schemes        900 HHs        4 districts/national level            8        Formation of 10 Village Radio Listeners&#39; clubs         10        -        -        -        -        10 listeners clubs        500 HHs        Bardiya/national level            9        Three Day Training on safe migration to 50 returnee WMWs and CSOs.        100        100        100        50        50        18 events        400 HHs        4 districts            10        Public Awareness (celebrations of 16th June & 18 December)         8        8        8        8        8        40 events        13000 persons        4 districts and National            Expected Result 2.2: Strengthened civil society organisations to promote safe migration and effective implementation of related policies for women and men migrant workers (SOFTWARE TYPES ACTIVITIES)            11        Week long campaign during international Migrants rights Day-5 events at national level and 15 events at district level         4        4        4        4        4        20 events        30,000 people        4 districts            12        IEC materials develop and dissemination - 2 types (poster - 2000 copies and booklet - 2000 copies         1000        2000        2000        1000        1000        7000 copies        30,000 people        4 districts            13        Refresher Training/ Orientation sessions on safe migration        100        100        100        100        100        500 sessions         15000 HHs        4 districts            14        Capacity building of target groups and workshops with stakeholders on migration policies and gaps- 25 events (500 persons)         5        5        5        5        5        25        500 persons        4 districts            15        Policy Dialogue and Advocacy at district level on policy implementation         1        1        1        1        1        5 events        150 persons        National Level            16        Lobby and advocacy with stakeholders on migrants policy implementation, entitlements issues at district level - 25 meetings         5        5        5        5        5        25        300 persons        National Level          Under Participation in Accountable Governance Programme:      (TANGIBLE/HARDWARE and SOFTWARE ACTIVITIES)              SN        Major Tangible/Measurable Activities        Physical Targets (year-wise)        Total targets         Tentative Total Beneficiaries        Locations                                Y-1        Y-2        Y-3        Y-4        Y-5                                    Expected Result 3.1 The enabling environment and leadership capacity of discriminated women is enhanced for furthering their participation in decision making processes and structures    (TANGIBLE, HARDWARE AND SOFTWARE TYPES ACTIVITIES)                                                                                                1        Capacity building trainings of women leaders from madhesi, Muslim and dalits on leadership skills, public speaking and advocacy-10 events (300 persons)         60        60        60        60        60        10 events        300 women        Sunsari            2        Radio Awareness Raising Program (fortnightly in local languages) on inclusion, gender budgeting and accountable governance - 10000(HHs) in Nepali and local languages         26        26        26        26        26        130 episodes        10,000 HHs        Sunsari            3        Establishment of resource centre for women leadership development        1        1        1        1        1        1 scheme        20,000 persons        Sunsari            4        Public hearing on local acts, provision of gender budgeting and 33% representation of the women -Five events in village level (1000 HHs/VDC).         5        5        5        5        5        5 events        5000 HHs        Sunsari            5        Training to the group members, leaders/members of political parties and social institutions on inclusion and governance        4        4        4        4        4        10 events        600 persons        Sunsari            6        Advocacy for implementation of Inclusion Policies of govt., political parties and social institutions -12 events (200 person)        1        2        3        3        3        12 events        200 HHs/persons        Sunsari            7        Interaction with government stakeholders at village and district level- Six events        1        2        1        1        1        6 events        180 persons        Sunsari            8        Community Action Group formation: 6 Group (120) women         6        6        6        6        6        6 groups        180 women HHs        Doti            9        Group mobilization - 18 women group (450 women)        18        18        18        18        18        18 women groups        450 women        Doti            10        Leadership & Political empowerment trainings- District Level: 2 events (50 women);VDC Level : 12 events : (350 women)         70        70        70        70        70        14 events        350 women leaders        Doti            11        Study on Dalit women&#39;s status on local governance- 1 event         1        -        -        -        -        1 event                Doti            12        Lobby visits for Dalit women inclusion -36 events,         6        12        6        6        6        36 events        400 persons        Doti            13        Develop the plan for inclusion in governance for submission to govt.            1        1        1        1        1        5 schemes        450 HHs        Doti            Expected Result 3.2 Dalits and other excluded groups have increased participation within govt and social institutions contributing towards the elimination of all forms of discrimination, including caste    (TANGIBLE, HARDWARE AND SOFTWARE TYPES ACTIVITIES)                                                                                                14        Gender and Social Inclusion sensitization training to social/cultural leaders and govt. stakeholders and political leaders.        3        3        3        3        3        15 events        300 persons        Salyan            15        Formation and strengthening of VDC level Network, ward citizen forums promoted by local govt.        3        5        5        5        5        23 networks /forums                460 HHs        Salyan            16        IEC Campaign for awareness on Dalit rights        2        2        2        2        2        10 schemes        5000 HHs        Salyan            17        Training on inclusion, governance and democracy to target groups.        2        2        2        2        1        19 events        270 HHs        Salyan            18        Civic Education Classes for Dalit Community        3        4        5        3        3        18 events        540 HHs        Salyan            19        Capacity building of community groups/activists on govt. procedures and systems.        2        2        2        2        1        9 events        270 HHs        Salyan            20        Public Service commission and other govt. service examination preparation classes and orientations to Dalits women/men.        2        2        2        -        -        6 events                        180 HHs        Salyan            21        Leadership training to community leaders, networks        100        100        100        100        100        20 events                500 Dalit leaders        Salyan            22        Establish dialogue center for interaction on inclusion and governance issues (District level)        1        1        1        1        1        1 Dialogue centre        5000 people        Salyan            23        Awareness Raising orientation workshop on government law & policies (Such as Untouchability act and other related acts and Policies) to target groups        500        500        500        500        500        81 events                            2500 HHs        Salyan            24        Monitoring and documentation of the Dalit Rights violations        5        5        5        5        5        25 cases                25 victims        Salyan            25        Radio Programs for media advocacy for awareness generation on policies related to inclusion and participation in Nepali and local languages         26        26        26        26        26        138 episodes                    50,000 people        Salyan            26        Participatory compliance monitoring of VDC and National level grant/ Budget        2        3        3        3        1        12 schemes                5000 people        Salyan            27        Publication of Dalit Rights Violation and inclusion        1        2        1        1        1        6 Publications        10,000 people        Salyan            28        Coordination and lobbying visits with govt. and related line agencies        2        2        2        2        2        10 visits                        Salyan            29        Election Campaign for Dalit inclusion        4        4        4        -        4        16 times National and Local level                Salyan            30        Promote access to govt. entitlements and social services schemes for Dalits        200        200        200        -        -        15 schemes        600 HHs        Dadeldhura            31        Capacity building of target groups and stakeholders on Dalit rights and acts        5        5        5        -        -        15 events        450 persons        Dadeldhura            32        Awareness on Dalit rights and entitlements        5        5        5        -        -        15 events        5000 HHs        Dadeldhura            Expected Result 3.3 Women and men human rights activities/defenders and their organisations are capacitated and protected through increased recognition from the state and its human rights institutions with relevant laws and policies    (TANGIBLE AND SOFTWARE TYPES ACTIVITIES)                                                                                                33        Organize national training/conference of HR activists/WHRDs        1        1        -        -        -        2 events        125 HRDs        Kailali, Banke, Morang, Kathmandu             34        Capacity development of local HRDs        3        3        -        -        -        6 events        125 HRDs        Kailali, Banke, Morang, Kathmandu             35        Establish a help desk at regional level        1        1        -        -        -        2 schemes        1000 W/HRDs        Kailali, Banke, Morang, Kathmandu             36        Emergency support including rescue/relief of HRDs at risk        1        1        -        -        -        3 schemes        200 HHs        Kailali, Banke, Morang, Kathmandu             37        Monitor the situation of HRDs in the districts        1        1        -        -        -        2 schemes        200 HRDs        Kailali, Banke, Morang, Kathmandu             38        Fact-finding/on-site mission        -        -        -        -        -        Per need        -                    39        Disseminate the situation of HRDs through INSEC periodic publications and via national radio/community FMs        1        1        -        -        -        2 schemes        5000 people        Kailali, Banke, Morang, Kathmandu             40        Interaction/Workshops among policy makers, government agencies, political parties and HRDs        1        1        -        -        -        2 events        500 persons        Kailali, Banke, Morang, Kathmandu             41        Coordination with NHRC along with other human rights organizations        5        5        -        -        -        10 events        500 persons        Kailali, Banke, Morang, Kathmandu","Major Total Expected Outputs of Projects:         Approximately 15000 farmers HHs (70,000 people) will have access to resilient livelihood and sustainable food security services and preparedness from disaster through 90 farmers field schools/groups         Around 10,000 farmers empowered to have regular access to government food security and DRR programmes         At least 15000 potential migrants and their families made aware on safe migration process         Approximately 1000 returnee migrant workers receive legal aid, referral services, shelter and other services and claim their entitlements from recruiters and government         300 women and 500 men from Dalits, Madheshi, Muslim are developed as community leaders for their inclusion and participation at local governance bodies and structures         Approximately 10,000 women and men from Dalits, Madhesi and Muslim communities have increased access to government programmes and services","5.2.2 Project Objectives:      Overall Objective:    Contribute to poverty reduction of the poorest and vulnerable communities from highly food insecure and disaster affected areas of Nepal through resilient livelihood, safe migration and empowerment.      Specific objectives         Improve resilient livelihoods and sustainable food security of most vulnerable and food insecure communities in disaster prone and food insecure areas in far western region of Nepal         Enhancing safer migration through empowerment of potential migrant workers, family members and returnee migrant workers, support to make government policies and systems effective, and strengthening migrants' civil society organisations.         Increase participation of women and men from vulnerable/discriminated communities in furthering accountable governance and fostering a culture of equality and diversity","Major Expected Outcomes:         More than 15,000 HHs from excluded and marginalized communities adopt, promote climate resilient and sustainable livelihood/agriculture technologies (low cost, replicable, easy to manage, innovative) reducing the food insecure periods from 180 to 50 days    Local govt. line agencies acknowledge and promote climate resilient livelihood models in their development programs    Increased access of excluded and marginalized women and men (more than 10,000 HHs) to govt. programmes /provisions on food security, natural resources, disaster mitigation, preparedness, and response    Increased legitimate representation and active engagement of excluded and marginalized communities including women in relevant local decision making bodies and CSOs by 50 %    Increased number of migrants who access services and assistance, including interventions from government through the legal system    Increased active participation of migrants, particularly women, in public actions, lobbying activities and decision making processes.    Enhanced effective implementation of existing policies and UN convention on migration and foreign employment policies    Increased women leaders from discriminated communities (Dalits and other excluded groups) that are elected and actively represented in local governance structures    Increased influence on gender sensitive policy priorities and resource allocation by a range of women from discriminated groups,    Increased formal and informal spaces in govt and social institutions for Dalits and other excluded groups to participate and access justice, programmes and resources as per govt. policies and commitments    Increase in the access to protection measures for safeguarding rights of women/ men human rights defenders and their organizations",New,01/01/2013,,01/01/2013," - Achham (Mangalsen)
 - Banke (Nepalgunj)
 - Bardiya (Gulariya)
 - Dadeldhura (Dadeldhura)
 - Doti (Dipayal)
 - Kailali (Dhangadhi)
 - Kanchanpur (Mahendara Nagar)
 - Kapilvastu (Taulihawa)
 - Kathmandu (Kathmandu)
 - Morang (Biratnagar)
 - Salyan (Salyan Khalanga)
 - Sunsari (Inaruwa)
 - Udayapur (Gaighat)",Dan Church Aid," - Agriculture, forestry, fishing and hunting
 - Social exclusion n.e.c.", ," - ECONOMIC AFFAIRS
 - SOCIAL PROTECTION", , ," - AGRICULTURE
 - LABOUR
 - WOMEN, CHILDREN & SOCIAL WELFARE", , 
