iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
US-1-2009002073,,,en,United States Government,US,Government,Administration and Oversight,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training [U.S. Government - General Services Administration]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,U.S. Government - General Services Administration,10000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,,0,22579,0,0,0,0,0
US-1-2009017365,,,en,United States Government,US,Government,Political Parties,"Establish and/or develop viable political parties and political entities that are effective and accountable, that represent and respond to citizens? interests, and that govern responsibly and effectively. [Consortium for Elections and Political Process Strengthening]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Consortium for Elections and Political Process Strengthening,22000,,NP,Nepal,,,,,,,,OECD Development Assistance Committee,,,,,,USD,,0,995579,0,0,0,0,0
US-USG-MCC-18-NP-326897-326897,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Not Applicable,,2,,,2013-02-01,2013-07-30,,,,,,,Millennium Challenge Corporation,US-18,Government,,,,NP,Nepal,,,,,,,,,,110,,,,USD,USD,-1563,0,0,0,0,0,0
US-USG-AID-1-NP-49566,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,286573,0,0,0,0,0,0
US-USG-AID-1-NP-2986,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,192,0,0,0,0,0
US-1-2010031391,,,en,United States Government,US,Government,HIV/AIDS - Assistance for HIV/AIDS,"Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS [through Personal Service Contractors - USAID]",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,13040,STD control including HIV/AIDS,,OECD Development Assistance Committee,,,,,,USD,,0,309,0,0,0,0,0
FI-3-2010-56-66013301,1,2011-08-17 00:00:00,en,"Ministry of Foreign Affairs, Finland",FI-3,Government,Support to Constitution building in Nepal,"The project is to be implemented within the International IDEA ongoing project Supporting Constitution Building in Nepal by including additional outcomes and activities. The objectives are to 1) build capacity of key political actors involved in Nepal's constitution making process, and 2) initiate and deepen dialogue among key political actors towards building consensus on these constitutional issues.",2,2010-12-07,2010-12-31,,,,,,Finland,FI,Government,Ministry of Foreign Affairs,FI-3,Government,International Institute for Democracy and Electoral Assistance (IDEA),47058,,NP,Nepal,,,,,15130,Legal and judicial development,,OECD Development Assistance Committee,1,110,10,C01,5,USD,,251656,0,0,0,0,0,0
US-USG-AID-1-NP-13636,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"Administrative Modification to USAID s contract for the Ghar Ghar Maa Swasthya (GGMS or Healthy Homes) Social Marketing Program reflecting the Novation Agreement, Negotiated Indirect Cost Rate Agreement (NICRA)and Incremental funding of US$1,844,637.00","Administrative Modification to USAID s contract for the Ghar Ghar Maa Swasthya (GGMS or Healthy Homes) Social Marketing Program reflecting the Novation Agreement, Negotiated Indirect Cost Rate Agreement (NICRA)and Incremental funding of US$1,844,637.00",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,500000,0,0,0,0,0,0
GB-1-108561-101,2,2013-12-07 00:00:00,en,Department for International Development,GB-1,Government,Rural Reconstruction & Rehabilitation Sector Development Programme - Design cost,,4,2007-05-01,2011-12-31,2007-05-01,2011-12-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,Other.,52000,,NP,Nepal,,,,,43040;32310;16010;;21010,Rural development;Construction policy and administrative management;Social/ welfare services;;Transport policy and administrative management,10;10;10;10;60,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,C01,5,GBP,!Mixed currency,451458,0,451457,0,0,0,0
GGProj:14478,,2013-11-14 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Build a house for the homeless Chepang for $170,"The Chepang people are perhaps the poorest, least educated and most marginalized people in Nepal. Until very recently they were denied citizenship and most still are not citizens. They live as part-time farmers and part-time hunter gatherers. Food insecurity is constant. Most are hungry, many don't even have the most basic shelter to live in. Over 80 percent are under the poverty line, which means they survive on less than US$1 per day. This project focuses on just getting a roof over their head",3,2013-07-15,2013-11-14,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,The Mountain Fund,GGOrg:743,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,238,0,0,0,0,0
44000-P010207,,2013-07-27 00:00:00,en,World Bank Group,44000,,INDUSTRIAL DEVELOPME,"The Industrial Development Project is part of IDA's continuing efforts in assisting the Government to promote industries in Nepal with greater private sector participation.  Project components include:  (a) a line of credit to NIDC to finance industrial investment projects; and (b) technical assistance and training to NIDC in strengthening operational standards and procedures particularly in project implementation, project supervision and management information.  There is also a project component involving; (c) consultancy and advisory services to improve formulation and implementation of industrial and export incentives, tourism promotion, and efficiency and quality of leather goods production and to assist in formulating a development program for the light engineering subsector.  Finally, the project provides; (d) foreign exchange funds to establish an Import/Export Facility for export oriented enterprises.  The project does not contain any unusual risk.",3,,1993-12-31,1984-12-13,1993-12-31,,,,International Development Association,44002,,International Development Association,44002,,,,,NP,Nepal,,,,,32110,Industrial policy and administrative management,100,OECD Development Assistance Committee,2,,,C01,5,USD,,0,0,0,0,-140774,-805749,0
GB-1-203187-104,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,Rural Water and Sanitation Programme - Evaluation,,2,2012-06-01,2015-05-31,2012-06-01,2015-05-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,,,,NP,Nepal,,,,,;14030,;Basic drinking water supply and basic sanitation,10;90,OECD Development Assistance Committee;OECD Development Assistance Committee,1,,10,C01,5,GBP,,50000,0,0,0,0,0,0
AU-5-INK035-NP,1,2013-04-08 00:00:00,en,Australian Agency for International Development,AU-5,Government,World Food Programme 2011-12 Emergency Assistance,"This initiative supports the World Food Programme (WFP), under the Emergency Assistance Program Fund. This funding will be utilised by the WFP for operations and cost associated with the purchase, transportation and storage of commodities in response to emergency situations in countries that have been identified as priority developing countries by Australia. This funding also assists Australia meet its commitments under the Food Aid Convention. The total value of this multi-country initiative is $25 million expensed during the year 2011.",2,2011-06-27,2012-06-30,2011-06-27,2012-06-30,,,,,,,,,,,,,NP,Nepal,,,,,,,,,,110,10,A02,,AUD,,0,0,1000000,0,0,0,0
47135-XPCRNP025A,,2014-02-10 00:00:00,en,Climate Investment Funds-Strategic Climate Fund,47135,,Building Climate Resilience of Watersheds in Mountain Eco-Systems,Implement watershed management plans in climate-vulnerable areas to increase accessibility and reliability of critical freshwater resources and enhance the productivity of water use by promoting efficiency measures and improved agricultural practices,2,2013-08-06,,,,,,,,,,,,,Asian Development Bank,46004,Multilateral,NP,Nepal,,,,,,,,,2,,10,,,USD,,24437000,0,0,0,0,0,0
US-USG-AID-1-NP-13967,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,-10080,0,0,0,0,0,0
US-USG-AID-1-NP-48074,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,CONTRACT,CONTRACT,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,1492,315,0,0,0,0,0
US-1-2009020822,,,en,United States Government,US,Government,Social Services,"Assist special populations which may be vulnerable or at-risk on a temporary or chronic basis whose needs are not addressed under emergency humanitarian assistance or other programs. These include groups such as the disabled; orphans, children and at-risk youth; victims of trafficking; victims of gender-based violence; refugees, returnees, ethnic minorities, internally displaced or other socially excluded groups; the elderly; and female heads of household. Depending on circumstances, services ma [Winrock International]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Winrock International,22000,,NP,Nepal,,,,,16010,Social/ welfare services,,OECD Development Assistance Committee,,,,,,USD,,0,192830,0,0,0,0,0
US-1-2010035745,,,en,United States Government,US,Government,Maternal and Child Health,"Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; prevention services including newborn care, routine immunization, polio eradication, safe water and hygiene, and micronutrients; improved maternal, infant and young child feeding; and treatment of life-threatening childhood illnesses. [through Plan I",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Plan International,22000,,NP,Nepal,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,,,,,,USD,!Mixed currency,150000,305606,0,0,0,0,0
GGProj:6724,,2014-04-09 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Home and Community for Orphans in Nepal,"This project assists orphanages and children's homes to provide orphans and abandoned children with a family, a home, education, and  status in the community. (A family is a trained ""mother,"" up to 8-10 siblings and community grandparents.)",2,2010-11-28,,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,"Global Family Village, Inc",GGOrg:5942,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,47871,0,0,0,0,0
US-USG-AID-1-NP-185942,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,BPA,BPA,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,1158,0,0,0,0,0
GB-1-203764-103,2,2014-03-27 00:00:00,en,Department for International Development,GB-1,Government,Technical Assistance through United Nation Development Programme,,2,2013-12-05,2017-07-31,2013-12-05,2017-07-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,United Nations Development Programme,41114,,NP,Nepal,,,,,15150;16010;,Strengthening civil society;Social/ welfare services;,20;30;50,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,C01,5,GBP,,4118000,0,0,0,0,0,0
US-USG-AID-1-NP-13571,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"Administrative Modification to USAID s contract for the Ghar Ghar Maa Swasthya (GGMS or Healthy Homes) Social Marketing Program reflecting the Novation Agreement, Negotiated Indirect Cost Rate Agreement (NICRA)and Incremental funding of US$1,844,637.00","Administrative Modification to USAID s contract for the Ghar Ghar Maa Swasthya (GGMS or Healthy Homes) Social Marketing Program reflecting the Novation Agreement, Negotiated Indirect Cost Rate Agreement (NICRA)and Incremental funding of US$1,844,637.00",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,421562,0,0,0,0,0,0
GB-1-200604-101,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,Accountable Grant - SAFERWORLD (Security Sector Reform Strategy Fund),,4,2009-05-13,2011-03-30,2009-05-13,2011-03-30,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,Donor country-based NGO,22000,,NP,Nepal,,,,,15210,Security system management and reform,,OECD Development Assistance Committee,,110,10,C01,5,GBP,!Mixed currency,535468,387351,133428,0,0,0,0
2010100611,,2014-01-09 00:00:00,en,Ministry for Foreign Affairs of Finland,FI-3,Government,Frame agreement with NGO (Fida Int.),"Frame agreement with NGO (Fida Int.), Projects that need further information by the NGO.",,2011-01-01,2014-12-31,,,,,,Finland,FI,,Ministry for Foreign Affairs of Finland,FI-3,,"Finnish NGO, Fida International",22000,,NP,Nepal,,,,,11110,Education policy and administrative management,,OECD Development Assistance Committee,1,,,,,EUR,EUR,0,30607,0,0,0,0,0
SE-6-5403009109-NP-15150,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,"Save the Children Framework Agreement South 2010- 2011,incl. EU until 2015-Rädda Barnen EU Latinamerika",Framesupport to SCS 2010-2011. The decision concerns SCS Development  Cooperation Work in around 40 countries and 3 thematic areas.                                                                                It also contains support to SCS own contribution for EU-cooperation  in the Middle East region,2,,,2010-01-01,2015-06-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,15150,Strengthening civil society,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,0,0,0,0,0,0
GB-1-108572-115,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,JANJATI Empowerment Project II - Enabling State Programme,,2,1997-08-01,2013-12-31,1997-08-01,2013-12-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,Developing country-based NGO,23000,,NP,Nepal,,,,,15150,Strengthening civil society,,OECD Development Assistance Committee,,110,10,C01,5,GBP,!Mixed currency,91476,91476,0,0,0,0,0
US-1-2009015913,,,en,United States Government,US,Government,Maternal and Child Health,"Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; prevention services including newborn care, routine immunization, polio eradication, safe water and hygiene, and micronutrients; improved maternal, infant and young child feeding; and treatment of life-threatening childhood illnesses. [John Snow International]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,John Snow International,22000,,NP,Nepal,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,,,,,,USD,,0,75000,0,0,0,0,0
GB-COH-871954-125,,2013-12-20 00:00:00,en,Practical Action,GB-COH-871954,International NGO,Evidence and Lessons from LA-Phase II,Evidence and Lessons from LA-Phase II,3,2013-04-01,2014-03-31,,,,,,,,,,,,,,,NP,Nepal,,298,"Africa, regional",,,,,,,,,C01,,GBP,,0,0,11107,0,0,0,0
AU-5-INI271-NP,1,2013-04-08 00:00:00,en,Australian Agency for International Development,AU-5,Government,South Asia Scholarships Program,"This initiative is for the management and administration functions for AusAID's scholarship program including the Australian Development Scholarships (ADS) and the Australia Leadership Awards (ALA), delivered in six countries across South Asia (Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka). The scholarships program is a key delivery mechanism of the Australian Government's development cooperation across South Asia. The funding to oversee administration functions will cover expenses such as medicals, language training, travel to Australia and Alumni events for awardees of the ADS and ALA programs. The total value of this multi-country initiative is $9 million over 5 years, starting 2008-09.",2,2009-03-01,2015-01-31,2009-03-01,2015-01-31,,,,,,,,,,,,,NP,Nepal,,,,,,,,,,110,10,A02,,AUD,,0,0,214324,0,0,0,0
CA-3-A031053001,1,2014-03-05 00:00:00,,,CA-3,Government,Sahakarya - Bâtir des collectivités autonomes - I,"Sahakarya a pour mission d'améliorer la situation socio-économique de collectivités choisies en faisant la promotion d'organisations communautaires représentatives et équitables aptes à gérer les ressources locales et à interagir avec les représentants des organes et des organismes gouvernementaux élus localement.     Le projet vise à réduire la pauvreté dans les régions montagneuses du Népal en renforçant les organisations communautaires par le développement économique et social. Le projet est mis en oeuvre dans les districts de l'ouest et de l'extrême ouest du pays, soit Jumla, Dadeldhura, Baitadi, Surkhet et Dailekh. Le centre canadien d'études et de coopération internationale est l'agent d'exécution canadien et le Conseil du bien-être social, celui du gouvernement du Népal.",4,,,2003-03-13,2012-11-15,,,,Canada,CA,Government,Agence canadienne de développement international,CA-1,Government,,,,NP,Nepal,,,,,12110;31110;15150,Health policy and administrative management;Agricultural policy and administrative management;Strengthening civil society,25;25;50,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,D01,,CAD,,4851297,0,0,0,0,0,0
US-USG-AID-1-NP-18954,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,119,119,0,0,0,0,0
CA-3-M013861001,1,2014-03-05 00:00:00,,,CA-3,Government,Asie/Amérique latine/Moyen-Orient - Programme alimentaire mondial 2013,"Février 2013 - Créé en 1961, le Programme alimentaire mondial (PAM) est l'organisme des Nations Unies responsable de l'assistance alimentaire et la plus grande organisation humanitaire de lutte contre la faim dans le monde. Le PAM fournit une assistance alimentaire aux populations vulnérables afin de lutter contre la faim et d’améliorer la sécurité alimentaire. Le PAM a démontré les connaissances et les capacités voulues pour répondre aux besoins d’assistance alimentaire d’urgence des populations vulnérables et contribuer à la lutte contre la faim dans le monde. Compte tenu de la présence et des capacités du PAM, aucune autre organisation n’est en mesure d’exercer les mêmes fonctions à une telle échelle.     Le financement de l'ACDI soutient les programmes d'assistance alimentaire du PAM mis en œuvre dans divers pays d'Asie, d'Amérique latine et du Moyen-Orient en 2013. Dans des contextes de crise humanitaire, le PAM concentre sa programmation sur l’apport d’assistance alimentaire pour remédier aux situations de malnutrition aiguë et d’insécurité alimentaire et protéger les moyens de subsistance.",2,,2014-06-30,2013-03-27,,,,,Canada,CA,Government,Agence canadienne de développement international,CA-1,Government,PAM - Programme alimentaire mondial,41140,Multilateral,YE;PK;NP;MM;LK;HT;BD,Yemen;Pakistan;Nepal;Myanmar;Sri Lanka;Haiti;Bangladesh,;;;;;;,,,,72040,Emergency food aid,100,OECD Development Assistance Committee,1,110,10,B03,,CAD,,18000000,0,0,0,0,0,0
44000-P010154,,2013-07-27 00:00:00,en,World Bank Group,44000,,EXT & RESEARCH,"The objective of the Agricultural Extension and Adaptive Research Project is early and sustained improvement in agricultural production, particularly foodgrains, in eight of the twenty administrative districts of the Nepal Terai. Improvements in production will be brought about by the wide adoption of low cost, labor-intensive agricultural practices, improved varieties of seeds, and provision of fertilizer. The project will comprise: (a) reorganization and strengthening of agricultural extension services; (b) strengthening and reorientation of applied and adaptive research; (c) strengthening the coordination between research and extension services; (d) establishment of regular monitoring and evaluation procedures; (e) local and overseas training of staff, studies and provision of consultants; (f) establishment of regional training centers, and offices and housing for field staff; (g) facilities, equipment and vehicles to support extension and training programs; and (h) provision of fertilizer.",3,,1990-07-15,1981-02-03,1990-07-15,,,,International Development Association,44002,,International Development Association,44002,,,,,NP,Nepal,,,,,31166,Agricultural extension,100,OECD Development Assistance Committee,2,,,C01,5,USD,,0,0,0,0,-185710,-1302840,0
US-99-2010049626,,,en,United States Government,US,Government,"Department of Energy, Office of Global Nuclear Material Threat Reduction (NA-212)",International Contributions.  Global Threat Reduction Initiative work,2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,#N/A,US-99,Government,U.S. Government - Department of Energy,10000,,NP,Nepal,,,,,23064,Nuclear power plants,,OECD Development Assistance Committee,,,,,,USD,USD,33426,0,0,0,0,0,0
GB-1-203274-102,2,2014-01-11 00:00:00,en,Department for International Development,GB-1,Government,Support to Nepal Police through Asian Development Bank,,2,2013-12-01,2018-12-31,2013-12-01,2018-12-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,,,,NP,Nepal,,,,,16010;15130;15210;,Social/ welfare services;Legal and judicial development;Security system management and reform;,20;20;25;35,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,,10,C01,5,GBP,,10600000,0,0,0,0,0,0
US-1-2009011294,,,en,United States Government,US,Government,Elections and Political Processes,Promote legitimate contestation for ideas and political power through democratic political processes that reflect the will of the people. Establish or develop competitive multiparty systems through improving the legal and regulatory framework under which political parties and political entities operate. [Consortium for Elections and Political Process Strengthening],2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Consortium for Elections and Political Process Strengthening,22000,,NP,Nepal,,,,,,,,OECD Development Assistance Committee,,,,,,USD,,0,80414,0,0,0,0,0
US-1-2009016776,,,en,United States Government,US,Government,Natural Resources and Biodiversity,"Conserve biodiversity and manage natural resources in ways that maintain their long-term viability and preserve their potential to meet the needs of present and future generations. Activities include combating illegal and corrupt exploitation of natural resources and the control of invasive species. Programs in this element should be integrated with the Agriculture Area under Economic Growth and Conflict Mitigation and Reconciliation Area under the Peace and Security Objective, when applicable a [Government of Nepal]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Government of Nepal,10000,,NP,Nepal,,,,,41010,Environmental policy and administrative management,,OECD Development Assistance Committee,,,,,,USD,USD,500000,0,0,0,0,0,0
US-USG-AID-1-NP-13632,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"to provide incremental funding of $5,987,794","to provide incremental funding of $5,987,794",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,403988,0,0,0,0,0
US-USG-AID-1-NP-91244,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"The negotiator is requested to add the following: ""The guidelines to perform the tasks listed under this section are only Illustrative.  Specific guidelines as well as tasks the Contractor must complete under each Financial Services will be stated in indi","The negotiator is requested to add the following: ""The guidelines to perform the tasks listed under this section are only Illustrative.  Specific guidelines as well as tasks the Contractor must complete under each Financial Services will be stated in indi",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,5168,0,0,0,0,0
SE-6-5403000802-NP-99820,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,Rädda Barnen 09 frame-RB 09 frame commun,Frame support to Save the Children Sweden 2009-2011. Included is      support to Save the children's information work in Sweden (6 MSEK per year).,4,,,2009-02-01,2010-06-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,99820,Promotion of development awareness,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,1572,0,0,0,0,0
41119-NPL6G13A,1,2014-01-28 00:00:00,en,United Nations Population Fund,41119,Multilateral,Ensuring recognition of sexual violence as a tool,"
Nepal - Kathmandu: Ensuring recognition of sexual violence as a tool 2010-02-25 2012-12-31
",,,,2010-02-25,2012-12-31,,,,,,,,,,UN POPULATION FUND,41119,Multilateral,NP,Nepal,,679,"South Asia, regional",,,,,,2,110,20,C01,5,USD,USD,0,0,192411,0,0,0,0
US-1-2010001598,,,en,United States Government,US,Government,Administration and Oversight,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,13010,Population policy and administrative management,,OECD Development Assistance Committee,,,,,,USD,,0,128,0,0,0,0,0
SE-6-7400329001-NP-15220,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,SMC frame agreement 2008,Support channeled through SMC to NGOs in Sweden,4,,,2008-01-01,2010-05-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,15220,"Civilian peace-building, conflict prevention and resolution",100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,6873,0,0,0,0,0
GGProj:12212,,2013-04-02 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Provide Music Classes for Children in Nepal,"Mitrata means friendship in Nepali. It's a word that epitomizes the meaning of love, care and support. Mitrata Nepal is home to over 100 underprivileged children in Kathmandu, Nepal, who participate in weekly music classes provided by the Playing For Change Foundation. The children look forward to their music classes each week and are grateful for the opportunity to express themselves and learn more about their culture and heritage.",3,2012-11-14,2013-04-02,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,Playing For Change Foundation,GGOrg:3401,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,1119,0,0,0,0,0
US-1-2010010208,,,en,United States Government,US,Government,Administration and Oversight,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,,0,56,0,0,0,0,0
SE-6-7400311201-NP-13040,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,LO/TCO South 2007-08,Frameworksupport to LO-TCO development cooperation 2007-2008.,4,,,2006-12-01,2010-05-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,13040,STD control including HIV/AIDS,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,13596,0,0,0,0,0
SE-6-5403000401-NP-43081,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,Forum Syd Frame 2009,Framework agreement with Forum Syd for 2009 - sub-granting funds to   Swedish NGOs for dev coop South.,4,,,2009-02-01,2011-12-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,43081,Multisector education/training,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,2465,0,0,0,0,0
41122-2970/A0/04/515/001,1,2013-06-07 00:00:00,en,UNICEF,41122,Multilateral,IR1 : SECTOR POLICY & ADVOCACY,"National  WASH Programme formulated, ensuring the incorporation of gender, social inclusion and equity issues",2,2014-04-02,2014-04-02,,,,,,Finland,,Government,,,,,,,NP,Nepal,,998,"Bilateral, unspecified",,14020;12261,Water supply and sanitation - large systems;Health education,73;27,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,134383.1,75078.39,0,0,0,0
US-1-2009007427,,,en,United States Government,US,Government,Assistance for HIV/AIDS,Reduced Fertility and Protected Health of Nepalese Families [United Nations Children's Fund],2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,United Nations Children's Fund,41122,,NP,Nepal,,,,,13040,STD control including HIV/AIDS,,OECD Development Assistance Committee,,,,,,USD,,0,226000,0,0,0,0,0
